               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12729,            0.034063,            0.035599,           0.0023951,              0.2614,           0.0019293,          0.00045332,            0.088785,            0.058007,            0.033921,             0.06721,          0.00033121,          0.00033121
                   1,             0.10255,             0.03882,            0.031133,           0.0034927,             0.34022,            0.004208,          0.00093599,            0.084399,            0.058486,            0.031761,            0.034206,          0.00066016,          0.00066016
                   2,            0.083134,            0.044595,            0.028376,            0.034963,             0.63899,             0.18826,            0.068018,            0.069961,            0.058131,            0.031071,            0.001197,           0.0009847,           0.0009847
                   3,            0.059816,            0.036099,            0.026537,             0.60162,             0.54087,             0.38187,             0.22287,            0.042571,             0.03572,            0.030348,           0.0009802,           0.0009802,           0.0009802
                   4,            0.048342,            0.028575,             0.02586,             0.65763,             0.56233,              0.5263,             0.32617,            0.034249,             0.03229,            0.028974,           0.0009802,           0.0009802,           0.0009802
                   5,            0.041785,            0.025601,            0.024196,             0.77923,             0.56676,             0.60048,             0.39309,            0.031938,            0.029177,            0.025667,           0.0009736,           0.0009736,           0.0009736
                   6,            0.038921,            0.024236,            0.019481,              0.9232,             0.58364,             0.64647,             0.46892,            0.027608,            0.027101,             0.01632,            0.000967,            0.000967,            0.000967
                   7,            0.036239,            0.022972,            0.013663,             0.94145,             0.60446,              0.6637,              0.4318,            0.028241,            0.025915,            0.012599,           0.0009604,           0.0009604,           0.0009604
                   8,            0.034056,            0.022048,            0.010837,             0.94483,             0.61087,             0.67133,             0.47919,            0.024573,             0.02434,            0.012437,           0.0009538,           0.0009538,           0.0009538
                   9,            0.031967,            0.021402,           0.0099763,             0.94224,             0.62473,             0.68025,             0.52576,            0.021741,            0.023165,            0.011031,           0.0009472,           0.0009472,           0.0009472
                  10,            0.030232,            0.020428,           0.0090437,             0.94595,             0.62527,             0.68488,             0.52573,            0.021339,             0.02243,            0.011115,           0.0009406,           0.0009406,           0.0009406
                  11,             0.02934,            0.020058,           0.0085106,             0.94633,             0.62859,             0.71705,             0.56472,            0.020397,            0.021711,            0.010359,            0.000934,            0.000934,            0.000934
                  12,            0.028074,            0.019343,           0.0083882,              0.9479,             0.62823,             0.68047,             0.53888,            0.020042,            0.020971,             0.01188,           0.0009274,           0.0009274,           0.0009274
                  13,            0.027195,            0.018836,           0.0081512,             0.61196,             0.72289,             0.72095,             0.57052,            0.018941,            0.020424,            0.010698,           0.0009208,           0.0009208,           0.0009208
                  14,            0.026311,            0.018193,           0.0077501,             0.66468,              0.7698,             0.75229,             0.60237,            0.018355,            0.020084,            0.010721,           0.0009142,           0.0009142,           0.0009142
                  15,            0.025596,            0.017899,           0.0077533,              0.6461,             0.76752,             0.73801,             0.58237,            0.019775,              0.0198,             0.01066,           0.0009076,           0.0009076,           0.0009076
                  16,            0.025146,            0.017629,           0.0073608,             0.62122,             0.76237,             0.71871,             0.57838,            0.017671,            0.019064,            0.011601,            0.000901,            0.000901,            0.000901
                  17,            0.024461,            0.017196,           0.0070726,             0.67247,              0.7818,             0.76099,             0.61749,            0.017041,            0.018657,            0.011047,           0.0008944,           0.0008944,           0.0008944
                  18,            0.023685,            0.016907,           0.0069592,             0.71467,             0.79913,             0.80316,             0.63964,             0.01765,            0.018483,            0.010111,           0.0008878,           0.0008878,           0.0008878
                  19,            0.023296,            0.016527,           0.0069707,              0.6731,             0.77743,             0.76454,             0.61854,            0.017029,            0.018209,            0.010834,           0.0008812,           0.0008812,           0.0008812
                  20,            0.022934,            0.016223,           0.0069162,             0.77529,             0.80719,              0.8452,             0.67993,            0.017169,             0.01795,           0.0097198,           0.0008746,           0.0008746,           0.0008746
                  21,            0.022604,            0.016154,           0.0067258,             0.75252,             0.79534,              0.8216,             0.66625,            0.016359,             0.01761,            0.010595,            0.000868,            0.000868,            0.000868
                  22,            0.022122,             0.01607,            0.006661,             0.74802,              0.7838,             0.79881,             0.65433,            0.015942,            0.017258,              0.0105,           0.0008614,           0.0008614,           0.0008614
                  23,            0.021917,            0.015553,           0.0066835,             0.75681,              0.7842,             0.81353,             0.65917,            0.016526,            0.017203,            0.010348,           0.0008548,           0.0008548,           0.0008548
                  24,            0.021612,            0.015483,           0.0063411,             0.80361,             0.84333,             0.86629,             0.69761,            0.016744,            0.017161,           0.0096771,           0.0008482,           0.0008482,           0.0008482
                  25,            0.021203,            0.015326,           0.0063852,             0.80984,             0.84597,             0.87748,             0.71816,            0.015849,            0.016928,           0.0091035,           0.0008416,           0.0008416,           0.0008416
                  26,            0.020908,            0.014793,           0.0060224,             0.78732,             0.81768,             0.85516,             0.69562,            0.016284,            0.016688,           0.0094666,            0.000835,            0.000835,            0.000835
                  27,            0.020732,             0.01495,           0.0058399,              0.7707,             0.79571,             0.81082,              0.6616,            0.015544,            0.016466,             0.01001,           0.0008284,           0.0008284,           0.0008284
